epoch,lr-AdamW,step,test_acc,test_f1,test_loss,train_acc,train_loss_epoch,val_acc,val_f1,val_loss
,0.001,0,,,,,,,,
0,,2,,,,,,0.375,0.27365967631340027,1.3592625856399536
0,,2,,,,0.2158273309469223,1.3866277933120728,,,
,0.001,3,,,,,,,,
1,,5,,,,,,0.32499998807907104,0.2469298392534256,1.3405852317810059
1,,5,,,,0.3525179922580719,1.3572852611541748,,,
,0.001,6,,,,,,,,
2,,8,,,,,,0.30000001192092896,0.21163682639598846,1.2950289249420166
2,,8,,,,0.3309352397918701,1.3520690202713013,,,
,0.001,9,,,,,,,,
3,,11,,,,,,0.5,0.4361432194709778,1.2052528858184814
3,,11,,,,0.36690646409988403,1.2828292846679688,,,
,0.001,12,,,,,,,,
4,,14,,,,,,0.4000000059604645,0.3377380967140198,1.1338346004486084
4,,14,,,,0.41726619005203247,1.2052568197250366,,,
,0.001,15,,,,,,,,
5,,17,,,,,,0.44999998807907104,0.39267677068710327,1.0147035121917725
5,,17,,,,0.42446044087409973,1.0973262786865234,,,
,0.001,18,,,,,,,,
6,,20,,,,,,0.5249999761581421,0.3892773985862732,1.0220844745635986
6,,20,,,,0.5107913613319397,0.9801655411720276,,,
,0.001,21,,,,,,,,
7,,23,,,,,,0.5,0.36918726563453674,1.2007403373718262
7,,23,,,,0.43884891271591187,1.1424921751022339,,,
,0.001,24,,,,,,,,
8,,26,,,,,,0.3499999940395355,0.2541627585887909,1.4778738021850586
8,,26,,,,0.46043166518211365,1.1545122861862183,,,
,0.001,27,,,,,,,,
9,,29,,,,,,0.3499999940395355,0.3029339909553528,1.4000828266143799
9,,29,,,,0.3741007149219513,1.4549205303192139,,,
,0.0002,30,,,,,,,,
10,,32,,,,,,0.3499999940395355,0.29914531111717224,1.3801062107086182
10,,32,,,,0.3525179922580719,1.3971441984176636,,,
,0.0002,33,,,,,,,,
11,,35,,,,,,0.3499999940395355,0.29914531111717224,1.3587653636932373
11,,35,,,,0.35971224308013916,1.375365138053894,,,
,0.0002,36,,,,,,,,
12,,38,,,,,,0.3499999940395355,0.29914531111717224,1.3387008905410767
12,,38,,,,0.36690646409988403,1.352887511253357,,,
,0.0002,39,,,,,,,,
13,,41,,,,,,0.3499999940395355,0.3005530536174774,1.3202049732208252
13,,41,,,,0.36690646409988403,1.3317102193832397,,,
14,,42,0.5,0.4371795058250427,1.234757423400879,,,,,
