epoch,lr-AdamW,step,test_acc,test_f1,test_loss,train_acc,train_loss_epoch,train_loss_step,val_acc,val_f1,val_loss
,0.001,0,,,,,,,,,
0,,2,,,,,,,0.375,0.2946428656578064,1.3432012796401978
0,,2,,,,0.2517985701560974,1.386501669883728,,,,
,0.001,3,,,,,,,,,
1,,5,,,,,,,0.6000000238418579,0.5283134579658508,1.163413405418396
1,,5,,,,0.3956834673881531,1.3273934125900269,,,,
,0.001,6,,,,,,,,,
2,,8,,,,,,,0.4749999940395355,0.35879331827163696,1.035477638244629
2,,8,,,,0.4892086386680603,1.1309680938720703,,,,
,0.001,9,,,,,,,,,
3,,11,,,,,,,0.6499999761581421,0.6094697117805481,0.9142303466796875
3,,11,,,,0.4460431635379791,1.0987070798873901,,,,
,0.001,12,,,,,,,,,
4,,14,,,,,,,0.6000000238418579,0.5297619104385376,0.9416170120239258
4,,14,,,,0.5755395889282227,0.9539309740066528,,,,
,0.001,15,,,,,,,,,
5,,17,,,,,,,0.75,0.7538875341415405,0.855774998664856
5,,17,,,,0.5611510872840881,0.9481674432754517,,,,
,0.001,18,,,,,,,,,
6,,20,,,,,,,0.75,0.7251976132392883,0.8583246469497681
6,,20,,,,0.5755395889282227,0.9967647194862366,,,,
,0.001,21,,,,,,,,,
7,,23,,,,,,,0.699999988079071,0.609919011592865,0.7570080161094666
7,,23,,,,0.6258992552757263,0.9407083988189697,,,,
,0.001,24,,,,,,,,,
8,,26,,,,,,,0.699999988079071,0.609919011592865,0.6590923070907593
8,,26,,,,0.633093535900116,0.8438502550125122,,,,
,0.001,27,,,,,,,,,
9,,29,,,,,,,0.4749999940395355,0.44679147005081177,1.1520054340362549
9,,29,,,,0.6978417038917542,0.6818684935569763,,,,
,0.001,30,,,,,,,,,
10,,32,,,,,,,0.7250000238418579,0.66370689868927,0.5774160027503967
10,,32,,,,0.597122311592102,0.947510302066803,,,,
,0.001,33,,,,,,,,,
11,,35,,,,,,,0.6499999761581421,0.5999844670295715,0.6859161853790283
11,,35,,,,0.8057553768157959,0.5233209729194641,,,,
,0.0002,36,,,,,,,,,
12,,38,,,,,,,0.824999988079071,0.8281046152114868,0.5723934173583984
12,,38,,,,0.6043165326118469,0.700949490070343,,,,
,0.0002,39,,,,,,,,,
13,,41,,,,,,,0.875,0.8760578036308289,0.5103391408920288
13,,41,,,,0.7410072088241577,0.6044607162475586,,,,
,0.0002,42,,,,,,,,,
14,,44,,,,,,,0.800000011920929,0.7979532480239868,0.4810296893119812
14,,44,,,,0.8417266011238098,0.48837631940841675,,,,
,0.0002,45,,,,,,,,,
15,,47,,,,,,,0.800000011920929,0.7836847305297852,0.4701569974422455
15,,47,,,,0.7841726541519165,0.49838772416114807,,,,
,0.0002,48,,,,,,,,,
16,,49,,,,,,0.49386292695999146,,,
16,,50,,,,,,,0.7250000238418579,0.66370689868927,0.520336925983429
16,,50,,,,0.7913669347763062,0.4556443989276886,,,,
,0.0002,51,,,,,,,,,
17,,53,,,,,,,0.875,0.8679865598678589,0.4588630795478821
17,,53,,,,0.7913669347763062,0.45974501967430115,,,,
,0.0002,54,,,,,,,,,
18,,56,,,,,,,0.8500000238418579,0.842483401298523,0.4563377797603607
18,,56,,,,0.7841726541519165,0.4766593873500824,,,,
,0.0002,57,,,,,,,,,
19,,59,,,,,,,0.7749999761581421,0.7307246327400208,0.4536355435848236
19,,59,,,,0.8345323801040649,0.40958020091056824,,,,
,4e-05,60,,,,,,,,,
20,,62,,,,,,,0.7749999761581421,0.7307246327400208,0.43648362159729004
20,,62,,,,0.8561151027679443,0.3909965753555298,,,,
,4e-05,63,,,,,,,,,
21,,65,,,,,,,0.875,0.8671537637710571,0.4040452837944031
21,,65,,,,0.8705036044120789,0.36902716755867004,,,,
,4e-05,66,,,,,,,,,
22,,68,,,,,,,0.875,0.8703387379646301,0.3986656963825226
22,,68,,,,0.8705036044120789,0.34539875388145447,,,,
,4e-05,69,,,,,,,,,
23,,71,,,,,,,0.8500000238418579,0.8440229296684265,0.4054574966430664
23,,71,,,,0.8633093237876892,0.3451552093029022,,,,
24,,72,0.800000011920929,0.7867965698242188,0.8141762018203735,,,,,,
